team_abbreviation,season_year,n_players,n_malos,vara_value
POR,2007,13,2,-0.48097034797617616
POR,2008,14,2,-0.4771093078856755
POR,2009,15,2,-0.3743115625804329
POR,2010,16,2,-0.7119756953955284
POR,2011,14,2,-0.40757940724992353
POR,2012,15,2,-0.5937170052875956
POR,2013,15,2,-0.5182984193580047
POR,2014,16,2,-0.33689364582098313
POR,2015,16,2,-0.669635870805964
POR,2016,14,2,-0.3169168833843632
POR,2017,15,2,-0.3715568689070968
POR,2018,16,2,-0.5544836267340874
POR,2019,16,2,-0.49205052117485254
SAC,1996,14,2,-0.3974171343298886
SAC,1997,15,2,-0.6887799322069267
SAC,1998,14,2,-0.4307714383050267
SAC,1999,14,2,-0.4114291491923368
SAC,2000,14,2,-0.49912005224745476
SAC,2001,13,2,-0.472891116328197
SAC,2002,14,2,-0.2988541657559875
SAC,2003,13,2,-0.44761483668545327
SAC,2004,15,2,-0.4023687469865525
SAC,2005,14,2,-0.5045255623203099
SAC,2006,14,2,-0.5898905941650147
SAC,2007,17,2,-0.8514883002637945
SAC,2008,14,2,-0.7375056732275066
SAC,2009,16,2,-0.5540750699388254
SAC,2010,15,2,-1.04134509925961
SAC,2011,14,2,-0.5859795914394421
SAC,2012,14,2,-0.3601124074146291
SAC,2013,16,2,-0.7493402246980969
SAC,2014,17,2,-0.4344617455557731
SAC,2015,15,2,-0.6618847340038048
SAC,2016,16,2,-0.4314387127419651
SAC,2017,16,2,-0.4140369259964386
SAC,2018,17,2,-0.4674675379132548
SAC,2019,18,2,-0.5112014560561084
SAS,1996,16,2,-0.4692898460279651
SAS,1997,14,2,-0.42629414893070944
SAS,1998,14,2,-0.3284194380341558
SAS,1999,14,2,-0.32844668569604824
SAS,2000,15,2,-0.5746386896181994
SAS,2001,15,2,-0.4054732998975928
SAS,2002,13,2,-0.5857781556650706
SAS,2003,17,2,-0.6488443911379682
SAS,2004,16,2,-0.4627379695945931
SAS,2005,15,2,-0.24261253713726846
SAS,2006,15,2,-0.3359601159942749
SAS,2007,17,2,-0.4489160309694039
SAS,2008,19,2,-0.5495133756022144
SAS,2009,14,2,-0.4225977278125225
SAS,2010,16,2,-0.6850072185160797
SAS,2011,19,2,-0.7242269561048221
SAS,2012,15,2,-0.2686641741051826
SAS,2013,15,2,-0.2761088054176373
SAS,2014,15,2,-0.49541400736842844
SAS,2015,18,2,-0.44872927029091103
SAS,2016,16,2,-0.38182937018952506
SAS,2017,18,2,-0.6145821911454334
SAS,2018,15,2,-0.42993729470199693
SAS,2019,17,2,-0.35862166228116615
SEA,1996,16,2,-0.4851199975127535
SEA,1997,15,2,-0.4225502529791905
SEA,1998,16,2,-0.42623515119211963
SEA,1999,15,2,-0.5285762824799843
SEA,2000,14,2,-0.29383297627084676
SEA,2001,16,2,-0.26515422381689024
SEA,2002,14,2,-0.4470881440598302
SEA,2003,14,2,-0.2706625145936023
SEA,2004,15,2,-1.0277668033527225
SEA,2005,14,2,-0.4885728824782938
SEA,2006,16,2,-0.6943609512037348
SEA,2007,17,2,-0.5041896407502025
TOR,1996,20,2,-0.6921282241716807
TOR,1997,19,2,-0.9977184211929775
TOR,1998,15,2,-0.9627487684646973
TOR,1999,15,2,-0.5681665793045981
TOR,2000,15,2,-0.9101736467472947
TOR,2001,16,2,-0.48035304842145143
TOR,2002,18,2,-0.5060742740325009
TOR,2003,16,2,-0.5700103651574091
TOR,2004,14,2,-0.331537375200022
TOR,2005,15,2,-0.47884551564173106
TOR,2006,16,2,-0.47374342330707936
TOR,2007,16,2,-0.4975468562677806
TOR,2008,16,2,-0.8368555772359316
TOR,2009,15,2,-0.36085612816190643
TOR,2010,17,2,-0.5751027151981171
TOR,2011,17,2,-0.38595470899411605
TOR,2012,15,2,-0.3266163281668387
TOR,2013,15,2,-0.49949510483117093
TOR,2014,16,2,-0.7298140061567167
TOR,2015,16,2,-0.38823612701380505
TOR,2016,16,2,-0.2663904669094152
TOR,2017,16,2,-0.5735607208759894
TOR,2018,18,2,-0.6352027110503881
TOR,2019,18,2,-0.4593512549927708
UTA,1996,12,2,-0.2362301720436711
UTA,1997,13,2,-0.13662439639309454
UTA,1998,14,2,-0.29950325948929984
UTA,1999,12,2,-0.3773120557194808
UTA,2000,14,2,-0.38560307628144597
UTA,2001,14,2,-0.5073079566326681
UTA,2002,13,2,-0.4644504552623298
